Soil Moisture,Temperature,Soil Humidity,Status
29,28,65.0,0
28,20,42.0,0
12,14,29.0,0
66,37,29.0,1
75,29,40.0,1
46,45,37.0,0
72,3,56.0,1
22,26,54.0,0
58,24,32.0,0
9,45,40.0,1
31,2,29.0,0
27,8,67.0,0
15,13,60.0,0
63,45,30.0,0
27,8,39.0,0
76,33,30.0,0
87,2,44.0,1
25,2,34.0,0
14,45,32.0,0
47,5,70.0,1
31,0,28.0,1
4,10,41.0,0
85,18,36.0,1
83,16,27.0,1
8,37,21.0,0
45,29,46.0,0
66,30,38.0,1
83,0,65.0,1
22,6,64.0,0
69,24,32.0,1
25,4,36.0,1
89,21,40.0,1
13,4,41.0,1
26,11,30.0,1
14,8,59.0,0
76,33,39.0,1
33,30,66.0,0
18,37,57.0,0
85,14,57.0,1
7,0,28.0,0
13,40,58.0,0
50,10,28.0,1
74,24,21.0,0
36,17,51.0,1
80,26,58.0,1
38,27,51.0,0
64,45,21.0,0
60,24,50.0,0
80,13,31.0,1
29,44,44.0,0
79,25,27.0,1
79,5,29.0,1
57,14,52.0,0
13,36,26.0,0
21,20,43.0,0
72,12,65.0,0
48,43,66.0,0
13,6,51.0,0
70,10,30.0,1
78,40,37.0,0
37,28,38.0,0
21,5,56.0,1
80,31,34.0,1
52,10,58.0,1
54,35,40.0,1
49,0,52.0,1
10,36,33.0,0
57,33,53.0,1
51,42,69.0,1
83,40,37.0,0
19,11,41.0,0
39,19,29.0,1
20,10,46.0,1
45,41,29.0,1
65,7,35.0,1
85,13,67.0,1
67,34,24.0,1
68,20,24.0,1
35,28,40.0,0
44,12,36.0,0
7,32,37.0,0
69,22,68.0,1
22,1,56.0,1
65,9,70.0,1
66,28,50.0,0
8,0,21.0,0
1,13,69.0,0
69,33,66.0,0
12,11,58.0,0
74,27,37.0,0
4,30,22.0,0
8,7,35.0,0
83,4,54.0,1
22,29,36.0,0
15,20,56.0,0
11,13,56.0,0
6,12,66.0,1
51,29,20.0,0
89,38,26.0,1
3,31,45.0,0
49,5,68.0,1
33,44,70.0,1
18,7,34.0,0
6,40,54.0,0
33,3,32.0,0
11,35,26.0,0
8,37,46.0,0
86,14,43.0,0
4,23,42.0,0
84,5,57.0,1
56,11,34.0,0
24,38,65.0,0
21,34,30.0,0
31,2,50.0,1
35,42,32.0,0
49,30,24.0,0
39,13,44.0,1
67,18,38.0,0
59,43,59.0,0
64,38,70.0,1
75,17,56.0,1
63,14,31.0,1
19,23,28.0,0
26,41,53.0,0
87,7,35.0,0
38,41,62.0,0
42,34,20.0,1
89,31,69.0,1
39,42,24.0,1
70,1,30.0,1
62,10,57.0,1
83,42,36.0,0
9,27,57.0,0
50,26,69.0,0
90,3,42.0,1
27,6,40.0,0
73,3,48.0,1
49,17,30.0,0
87,15,24.0,1
69,4,55.0,1
35,20,28.0,1
19,7,50.0,1
21,44,28.0,1
38,42,38.0,0
17,26,39.0,0
9,37,54.0,0
49,17,50.0,0
47,36,44.0,0
65,41,52.0,1
83,37,44.0,1
52,1,32.0,1
29,40,68.0,0
53,0,70.0,1
90,9,29.0,1
5,41,56.0,0
23,36,50.0,1
5,34,27.0,0
64,14,37.0,0
31,30,57.0,1
64,28,29.0,1
30,11,63.0,1
42,5,34.0,1
36,45,53.0,1
53,25,45.0,0
9,27,49.0,0
16,15,51.0,1
44,15,39.0,0
21,4,59.0,1
52,10,42.0,1
89,32,44.0,0
71,36,36.0,0
20,10,26.0,1
73,27,28.0,1
23,36,41.0,0
74,21,55.0,1
80,0,61.0,1
68,13,42.0,1
22,35,32.0,1
17,33,42.0,0
47,25,23.0,0
56,30,30.0,0
90,43,22.0,0
79,34,46.0,0
22,41,60.0,0
53,12,36.0,0
79,16,50.0,1
14,32,24.0,0
54,14,50.0,1
78,33,26.0,0
16,27,21.0,0
25,13,64.0,0
68,4,33.0,1
37,5,22.0,0
11,13,41.0,0
5,34,65.0,0
74,30,61.0,1
15,12,33.0,1
89,32,52.0,1
49,32,69.0,1
27,42,33.0,0
68,39,28.0,0
28,16,57.0,1
32,44,68.0,0
57,30,63.0,1
21,18,38.0,0
44,6,22.0,1
76,3,63.0,1
19,34,26.0,0
66,5,65.0,1
37,10,65.0,0
37,13,51.0,0
51,40,48.0,0
74,1,29.0,1
2,35,55.0,0
39,22,60.0,0
84,9,49.0,1
37,17,68.0,0
45,17,62.0,0
34,4,68.0,1
79,24,50.0,0
44,11,26.0,1
63,42,25.0,1
24,5,46.0,1
79,29,31.0,1
84,25,48.0,1
11,16,44.0,1
70,30,65.0,0
57,18,68.0,0
28,41,43.0,1
90,7,37.0,1
32,25,22.0,0
30,31,63.0,0
74,37,35.0,1
26,25,41.0,0
52,2,41.0,1
55,14,63.0,0
88,27,44.0,0
56,12,29.0,0
44,12,33.0,0
77,40,23.0,1
20,0,47.0,0
54,0,34.0,1
54,14,33.0,0
58,38,56.0,0
15,39,52.0,0
17,25,21.0,0
67,39,33.0,1
46,36,32.0,0
86,6,27.0,1
28,29,37.0,0
63,33,37.0,0
83,7,54.0,1
6,7,61.0,0
19,31,43.0,0
14,6,63.0,1
15,43,58.0,0
34,1,23.0,1
21,27,70.0,0
8,3,30.0,0
45,29,50.0,0
45,38,36.0,0
26,35,35.0,0
81,45,30.0,0
59,2,58.0,1
85,14,67.0,1
18,34,42.0,0
75,12,27.0,1
84,33,52.0,0
2,34,29.0,0
4,30,32.0,1
67,10,38.0,1
48,18,23.0,1
6,26,22.0,0
74,26,50.0,1
39,24,35.0,0
54,45,23.0,0
78,10,59.0,1
43,43,24.0,1
2,42,53.0,0
48,8,64.0,0
31,23,27.0,1
10,4,65.0,0
34,1,42.0,1
63,27,20.0,1
25,37,21.0,0
4,8,25.0,0
78,9,20.0,1
90,43,24.0,1
41,10,25.0,1
5,22,22.0,1
62,39,32.0,0
73,37,69.0,0
46,23,67.0,0
25,3,45.0,1
22,28,44.0,0
49,38,36.0,0
56,31,54.0,0
71,27,35.0,1
36,30,55.0,0
58,39,48.0,0
59,43,36.0,1
74,15,41.0,0
58,39,21.0,0
31,14,33.0,0
61,31,61.0,0
44,39,61.0,0
1,20,61.0,0
75,28,37.0,0
45,14,21.0,0
44,3,29.0,1
82,26,34.0,1
69,27,45.0,0
68,27,65.0,1
53,19,50.0,0
32,14,20.0,0
3,6,50.0,0
43,34,54.0,0
6,10,46.0,0
3,7,57.0,0
16,36,67.0,0
34,13,32.0,1
37,23,21.0,0
79,6,25.0,1
82,24,55.0,0
39,36,21.0,0
9,45,45.0,0
28,2,66.0,1
5,17,61.0,1
47,6,20.0,1
22,19,29.0,1
23,43,64.0,0
51,25,44.0,0
88,35,61.0,1
32,21,45.0,0
67,9,36.0,0
6,30,54.0,0
26,14,36.0,0
25,38,44.0,1
86,1,43.0,1
66,28,54.0,0
54,2,35.0,1
69,16,43.0,0
24,6,49.0,1
4,11,63.0,0
28,30,43.0,0
50,28,35.0,0
55,6,51.0,0
54,30,25.0,0
33,25,50.0,0
82,9,50.0,1
83,9,21.0,1
89,23,36.0,1
31,16,54.0,1
71,8,36.0,1
8,34,53.0,0
59,31,34.0,0
5,37,38.0,0
47,42,58.0,0
47,29,38.0,0
41,45,39.0,0
63,40,70.0,1
63,21,49.0,0
73,20,30.0,1
39,5,39.0,1
41,19,51.0,0
84,8,59.0,1
73,42,29.0,1
16,24,45.0,1
52,10,21.0,0
54,44,60.0,0
67,17,56.0,1
68,31,61.0,0
38,40,21.0,1
31,37,50.0,0
22,30,23.0,0
14,4,30.0,0
36,1,66.0,1
79,44,49.0,1
80,3,29.0,1
8,28,30.0,0
35,35,28.0,0
62,18,66.0,0
29,13,52.0,0
16,41,46.0,0
57,0,52.0,1
61,24,44.0,1
80,8,58.0,1
37,1,21.0,1
24,43,21.0,0
22,43,64.0,0
60,12,58.0,1
66,12,38.0,0
69,31,50.0,1
45,6,39.0,1
25,17,29.0,0
9,42,59.0,1
37,34,63.0,0
25,24,54.0,0
20,6,51.0,0
14,43,35.0,0
7,20,66.0,0
27,28,27.0,0
62,1,64.0,1
64,6,62.0,1
27,25,60.0,1
46,39,20.0,0
70,18,66.0,1
31,38,34.0,0
65,2,62.0,1
11,32,36.0,1
64,22,53.0,0
68,18,36.0,1
79,45,25.0,0
31,29,42.0,1
44,21,30.0,1
82,38,56.0,1
33,23,60.0,0
64,29,47.0,0
31,28,35.0,0
23,34,28.0,0
41,36,23.0,0
23,27,27.0,0
57,17,36.0,1
81,15,43.0,0
15,26,31.0,0
81,21,57.0,1
68,17,67.0,0
87,4,51.0,1
26,0,57.0,1
78,28,53.0,1
26,45,55.0,0
1,31,32.0,0
39,10,59.0,0
20,34,60.0,0
19,6,62.0,1
23,25,46.0,0
12,27,62.0,0
23,36,49.0,1
36,22,22.0,0
68,35,55.0,0
3,2,42.0,0
14,26,45.0,1
16,21,35.0,0
67,36,46.0,0
18,12,56.0,0
87,14,37.0,0
11,26,42.0,0
68,0,43.0,1
83,20,52.0,1
3,44,41.0,0
59,8,20.0,1
9,26,65.0,0
60,25,30.0,1
13,24,31.0,0
4,41,57.0,0
51,33,70.0,0
77,8,22.0,1
47,35,30.0,0
31,5,48.0,1
72,15,33.0,0
15,5,52.0,0
63,19,61.0,1
24,19,44.0,0
39,17,55.0,1
90,7,35.0,0
62,18,42.0,0
55,26,68.0,0
57,2,39.0,1
9,31,41.0,0
88,9,20.0,1
78,23,32.0,0
68,45,65.0,1
89,36,38.0,1
2,8,32.0,1
76,14,67.0,0
38,36,61.0,1
19,27,51.0,0
75,7,55.0,1
17,14,20.0,0
62,33,68.0,1
49,29,51.0,0
59,5,28.0,1
78,33,35.0,0
62,13,22.0,1
41,27,68.0,0
30,0,62.0,1
65,31,43.0,0
2,26,22.0,0
54,10,25.0,1
13,5,27.0,1
63,29,55.0,0
74,6,31.0,1
78,34,26.0,1
28,45,43.0,0
62,42,59.0,1
50,22,31.0,0
55,27,25.0,0
20,30,21.0,1
49,26,37.0,0
37,15,65.0,0
29,11,25.0,1
1,32,42.0,0
70,26,31.0,1
69,12,35.0,1
37,17,56.0,1
46,18,56.0,1
64,23,68.0,1
15,6,38.0,1
37,12,26.0,1
4,23,65.0,0
25,15,38.0,0
80,19,68.0,0
46,6,39.0,0
73,10,50.0,1
79,41,31.0,0
21,5,56.0,1
47,7,30.0,1
28,0,35.0,1
48,13,25.0,1
74,20,53.0,1
65,9,23.0,1
65,28,52.0,0
6,25,65.0,0
80,43,51.0,0
48,8,64.0,0
46,3,70.0,0
25,35,33.0,0
35,6,45.0,1
74,18,38.0,0
45,11,29.0,1
63,28,50.0,0
71,27,39.0,1
14,20,22.0,0
72,44,47.0,1
46,27,36.0,0
7,43,66.0,1
56,17,41.0,1
42,10,27.0,1
50,13,57.0,1
81,26,49.0,1
36,15,32.0,1
42,6,23.0,0
36,32,43.0,0
32,43,70.0,1
55,31,38.0,0
65,22,56.0,1
9,2,54.0,0
70,22,30.0,1
20,28,62.0,0
78,35,28.0,1
32,33,68.0,0
81,18,55.0,1
66,25,66.0,1
56,12,25.0,1
70,34,62.0,0
47,36,24.0,1
25,3,48.0,1
22,13,53.0,1
44,26,47.0,0
37,9,55.0,1
68,22,35.0,0
72,0,45.0,1
56,44,48.0,0
78,24,45.0,0
30,12,39.0,0
53,22,51.0,0
5,22,47.0,0
53,28,37.0,1
64,21,63.0,1
76,3,67.0,1
22,37,62.0,0
90,3,57.0,1
41,30,33.0,0
58,5,67.0,0
63,26,68.0,0
16,20,58.0,0
72,37,56.0,1
88,25,50.0,1
58,21,53.0,0
79,25,22.0,0
13,25,31.0,0
82,24,32.0,0
43,25,65.0,0
61,31,68.0,1
53,31,31.0,0
53,24,51.0,0
52,36,53.0,0
34,38,29.0,0
89,13,27.0,1
89,2,45.0,1
74,22,35.0,1
27,26,33.0,0
48,39,63.0,0
32,7,65.0,0
23,30,57.0,0
9,18,56.0,0
53,38,37.0,0
8,30,52.0,0
52,8,39.0,0
8,3,20.0,1
55,43,46.0,0
39,27,54.0,1
10,5,43.0,0
14,18,64.0,0
46,4,36.0,1
35,8,38.0,1
15,35,39.0,0
38,12,58.0,1
10,3,24.0,0
49,11,62.0,1
54,28,48.0,0
48,5,38.0,0
3,43,41.0,0
70,25,20.0,1
6,2,35.0,0
6,45,45.0,0
34,45,65.0,0
40,3,45.0,1
58,23,61.0,1
65,39,46.0,1
68,10,65.0,0
44,33,35.0,0
48,15,34.0,0
55,6,44.0,1
32,45,31.0,0
8,16,39.0,0
9,23,36.0,0
58,21,25.0,0
58,12,24.0,0
30,6,69.0,0
47,13,31.0,0
90,12,64.0,1
32,45,52.0,0
24,5,22.0,0
30,20,67.0,1
65,13,21.0,1
70,32,25.0,0
59,9,49.0,0
6,9,39.0,1
72,42,52.0,1
42,29,29.0,0
82,16,62.0,1
11,17,49.0,0
86,14,68.0,1
69,41,31.0,1
43,38,64.0,0
28,35,27.0,0
70,2,35.0,1
11,38,59.0,0
21,18,66.0,1
25,19,61.0,1
62,9,60.0,1
29,38,50.0,0
61,1,70.0,1
23,34,49.0,1
48,37,42.0,1
35,2,54.0,1
49,18,27.0,0
88,13,51.0,1
51,23,61.0,1
90,6,69.0,0
68,37,53.0,0
75,4,67.0,1
8,40,42.0,0
5,31,28.0,0
53,9,36.0,0
42,40,70.0,0
5,27,21.0,0
4,31,51.0,0
74,11,37.0,0
57,31,66.0,0
36,19,21.0,1
62,2,49.0,1
69,40,45.0,0
18,13,58.0,0
83,9,48.0,1
10,14,20.0,0
74,7,21.0,1
2,30,21.0,0
31,37,28.0,0
58,5,47.0,1
30,15,23.0,0
47,28,26.0,1
25,22,68.0,0
37,3,67.0,0
6,10,23.0,0
1,30,60.0,1
82,43,32.0,1
85,30,26.0,1
19,22,28.0,1
34,25,35.0,1
14,33,23.0,1
13,41,28.0,0
2,42,41.0,0
72,40,69.0,0
88,7,35.0,0
8,27,32.0,0
88,39,64.0,0
76,3,25.0,1
52,37,56.0,0
35,17,21.0,0
47,42,55.0,0
87,22,66.0,1
73,8,32.0,1
83,27,46.0,1
69,31,26.0,0
77,10,21.0,1
86,31,57.0,1
73,11,61.0,1
80,27,52.0,0
88,10,53.0,1
79,10,24.0,1
18,6,43.0,0
36,30,27.0,0
48,4,64.0,1
11,14,26.0,0
59,31,42.0,0
69,11,53.0,1
36,13,21.0,0
1,2,39.0,0
68,7,34.0,0
29,14,69.0,0
46,3,53.0,0
14,4,32.0,0
5,27,55.0,0
59,36,64.0,0
27,24,52.0,0
57,12,41.0,0
2,32,32.0,0
59,10,47.0,1
48,10,42.0,0
72,35,32.0,1
12,29,37.0,1
67,43,47.0,1
48,18,29.0,0
39,40,49.0,0
47,27,26.0,0
68,13,24.0,1
42,41,47.0,0
46,42,21.0,0
60,27,52.0,1
81,7,62.0,1
85,5,55.0,1
65,4,30.0,1
18,23,24.0,1
13,29,38.0,0
15,23,67.0,0
48,16,59.0,1
70,40,36.0,1
34,41,43.0,0
89,9,59.0,1
40,21,26.0,1
81,8,33.0,1
69,27,62.0,1
14,3,26.0,1
82,31,62.0,1
77,12,68.0,1
58,18,23.0,0
10,24,52.0,1
37,17,55.0,1
8,8,47.0,0
36,10,46.0,1
65,25,57.0,0
13,1,52.0,1
51,3,39.0,1
15,11,27.0,0
66,41,40.0,1
42,36,39.0,0
25,31,51.0,0
61,24,33.0,1
87,0,29.0,1
59,11,20.0,1
40,21,61.0,1
31,21,40.0,0
32,45,30.0,0
48,11,56.0,0
20,2,63.0,1
72,4,62.0,1
59,15,61.0,1
29,24,28.0,0
73,34,25.0,0
13,9,62.0,0
74,22,51.0,1
62,23,30.0,1
20,36,26.0,0
40,10,34.0,1
7,19,34.0,0
53,8,24.0,1
10,12,43.0,0
23,18,62.0,1
5,4,42.0,0
41,1,20.0,1
5,31,63.0,1
31,23,47.0,0
32,29,41.0,1
83,33,23.0,1
6,9,46.0,1
64,41,61.0,1
36,2,30.0,1
45,12,45.0,1
22,25,68.0,0
67,30,48.0,1
70,39,52.0,0
55,30,64.0,0
86,43,62.0,0
45,5,36.0,1
33,35,27.0,0
4,17,45.0,1
57,37,48.0,0
26,25,44.0,0
1,44,36.0,0
74,31,49.0,0
52,30,21.0,0
86,8,27.0,1
77,30,22.0,1
73,3,41.0,1
80,42,37.0,0
87,22,20.0,0
76,22,70.0,0
87,45,46.0,1
10,35,34.0,0
54,31,33.0,0
50,2,46.0,1
15,28,58.0,0
27,2,62.0,1
19,40,43.0,0
13,1,39.0,1
23,5,48.0,1
45,24,63.0,1
89,11,35.0,0
89,9,43.0,1
31,32,61.0,0
53,44,62.0,0
32,42,39.0,0
3,38,45.0,0
72,18,57.0,1
15,19,53.0,0
12,30,21.0,0
28,23,21.0,0
16,19,42.0,0
24,3,54.0,1
8,21,63.0,0
18,12,30.0,0
68,36,66.0,1
14,19,43.0,0
39,27,63.0,0
67,18,48.0,1
34,9,31.0,1
68,24,42.0,0
75,3,21.0,1
56,3,42.0,1
9,42,26.0,0
27,2,38.0,1
33,17,70.0,0
49,15,55.0,1
60,35,45.0,0
72,42,25.0,0
19,5,30.0,0
13,3,69.0,0
32,39,26.0,0
76,20,36.0,0
86,8,43.0,1
5,14,55.0,1
14,1,45.0,0
36,1,43.0,1
42,24,59.0,1
50,6,53.0,1
9,30,29.0,0
52,27,56.0,1
52,44,50.0,0
14,19,64.0,0
52,35,37.0,0
85,17,36.0,0
28,4,68.0,1
40,3,37.0,1
48,1,53.0,1
50,20,63.0,0
54,43,57.0,0
88,45,20.0,1
70,32,21.0,0
28,24,22.0,1
20,31,22.0,0
34,10,26.0,0
1,12,53.0,0
70,13,64.0,0
73,15,68.0,1
47,2,54.0,1
15,5,58.0,0
65,43,35.0,0
34,0,25.0,1
85,18,44.0,1
64,6,33.0,1
13,21,68.0,0
40,4,36.0,1
78,38,27.0,1
49,20,48.0,1
82,28,20.0,1
41,44,33.0,0
33,27,42.0,0
50,45,65.0,1
75,25,33.0,0
52,19,58.0,1
73,5,65.0,1
71,8,54.0,1
76,30,29.0,1
81,30,63.0,1
17,6,50.0,0
3,10,42.0,0
49,25,68.0,0
34,9,28.0,1
87,1,67.0,1
12,23,69.0,1
37,7,68.0,0
5,33,46.0,1
68,22,23.0,1
43,2,42.0,1
65,34,67.0,0
26,42,31.0,1
66,13,43.0,1
64,17,50.0,1
67,21,36.0,0
8,11,39.0,0
46,30,38.0,0
42,29,57.0,0
68,32,47.0,1
41,10,22.0,1
17,38,33.0,0
68,8,58.0,1
38,4,38.0,1
82,27,56.0,0
27,22,45.0,0
34,17,69.0,0
58,26,61.0,0
10,0,60.0,1
69,23,61.0,1
42,9,47.0,1
62,43,40.0,0
2,19,66.0,0
24,27,42.0,0
82,9,66.0,0
49,36,28.0,0
75,19,30.0,1
45,37,55.0,0
37,45,20.0,0
25,22,22.0,0
22,23,43.0,0
70,25,34.0,1
45,9,62.0,1
72,12,60.0,1
77,39,56.0,1
59,11,53.0,1
22,25,53.0,0
46,33,67.0,1
57,0,37.0,1
54,36,21.0,0
31,5,31.0,1
60,16,38.0,0
83,19,20.0,1
27,3,61.0,1
68,17,62.0,1
8,12,45.0,0
72,30,21.0,0
7,30,56.0,0
3,39,40.0,0
4,20,28.0,0
46,29,23.0,1
57,42,37.0,1
66,14,36.0,0
82,26,22.0,0
25,8,42.0,1
22,21,47.0,0
27,8,67.0,0
86,29,54.0,1
76,38,34.0,1
31,35,67.0,0
19,27,48.0,1
32,9,49.0,1
90,10,57.0,1
8,40,23.0,0
64,9,66.0,0
90,19,29.0,1
70,7,38.0,1
54,43,45.0,0
11,38,41.0,1
41,1,30.0,1
82,31,49.0,0
57,24,67.0,0
15,4,64.0,1
60,9,61.0,1
86,35,35.0,1
86,42,28.0,1
47,35,33.0,0
67,34,65.0,1
62,12,59.0,1
56,10,28.0,1
15,0,60.0,1
26,32,51.0,0
3,24,50.0,0
38,39,47.0,0
14,45,27.0,0
58,9,22.0,1
59,24,55.0,0
34,43,28.0,0
19,12,69.0,0
7,34,48.0,0
84,5,33.0,0
72,19,29.0,1
12,4,50.0,0
75,27,31.0,1
76,37,23.0,0
82,4,59.0,1
40,10,35.0,0
53,32,23.0,0
16,40,37.0,0
45,36,44.0,0
64,44,30.0,0
47,2,47.0,1
84,19,23.0,1
81,45,44.0,0
81,1,54.0,1
88,21,39.0,0
72,29,25.0,1
74,39,60.0,1
69,28,44.0,1
36,2,49.0,1
63,40,43.0,1
20,13,50.0,0
75,20,43.0,1
70,28,36.0,1
8,0,33.0,1
84,7,61.0,1
75,2,25.0,1
40,19,68.0,0
25,10,35.0,0
53,37,39.0,0
85,35,50.0,0
10,11,46.0,0
65,28,47.0,1
63,6,24.0,1
27,5,56.0,1
63,14,66.0,0
25,19,46.0,0
42,15,57.0,0
77,27,38.0,1
27,34,59.0,1
78,21,33.0,1
17,36,21.0,0
6,35,28.0,0
38,11,36.0,0
55,31,70.0,0
67,41,40.0,1
3,10,64.0,0
16,39,61.0,0
16,42,31.0,1
58,26,29.0,1
69,35,31.0,1
49,6,51.0,0
13,21,68.0,0
27,12,28.0,1
2,14,31.0,0
63,25,33.0,0
16,30,38.0,0
24,41,48.0,0
5,39,58.0,0
32,10,21.0,0
60,6,69.0,0
4,41,57.0,0
39,4,64.0,0
77,44,47.0,1
88,36,23.0,1
38,20,48.0,0
61,36,70.0,0
31,24,34.0,0
23,16,44.0,0
73,21,43.0,0
32,14,56.0,0
51,0,50.0,1
83,18,35.0,0
82,2,21.0,1
87,37,31.0,1
11,34,21.0,1
28,13,42.0,0
27,41,34.0,0
19,42,65.0,1
65,4,37.0,1
19,25,35.0,1
7,12,57.0,0
68,22,30.0,0
10,19,68.0,1
18,9,27.0,0
26,21,37.0,0
67,25,25.0,1
82,43,39.0,1
20,26,51.0,0
29,37,24.0,0
52,42,34.0,0
47,2,31.0,1
49,27,45.0,1
8,30,53.0,0
37,31,50.0,0
61,25,60.0,1
33,36,64.0,0
78,15,22.0,1
34,7,22.0,1
13,31,30.0,1
5,20,48.0,0
11,29,63.0,1
35,7,41.0,1
75,9,34.0,1
88,6,45.0,1
6,7,22.0,1
63,13,58.0,1
81,37,66.0,1
30,36,50.0,0
21,26,67.0,0
79,21,23.0,1
27,17,35.0,0
9,30,60.0,0
80,3,30.0,1
81,14,39.0,1
22,18,50.0,1
85,33,24.0,1
18,26,36.0,0
15,44,69.0,0
67,31,35.0,0
38,43,62.0,0
90,23,35.0,1
49,28,48.0,0
89,35,27.0,0
83,36,33.0,0
70,40,42.0,1
9,26,29.0,0
44,43,20.0,0
64,45,44.0,0
26,45,38.0,0
52,12,32.0,0
65,42,50.0,1
65,16,35.0,0
47,5,35.0,0
49,8,26.0,1
63,3,57.0,1
66,20,68.0,1
87,13,49.0,1
62,19,51.0,1
63,4,25.0,1
56,12,42.0,0
90,7,51.0,1
3,22,53.0,0
57,4,50.0,1
16,40,52.0,1
25,30,45.0,0
70,5,50.0,1
57,12,22.0,1
85,39,50.0,1
66,27,39.0,1
16,18,43.0,1
82,24,25.0,1
51,23,47.0,0
42,2,63.0,1
40,3,66.0,0
25,38,57.0,0
55,27,59.0,0
44,8,26.0,1
40,15,42.0,0
81,43,35.0,1
4,20,21.0,0
85,44,32.0,1
22,19,39.0,0
42,7,40.0,1
65,26,33.0,0
20,45,52.0,0
43,44,34.0,0
44,20,68.0,0
32,6,68.0,0
37,31,31.0,0
50,20,44.0,0
65,30,29.0,1
18,36,33.0,0
5,12,45.0,0
12,44,50.0,0
29,23,36.0,0
32,22,55.0,0
75,18,34.0,0
69,0,35.0,1
24,16,36.0,1
12,9,23.0,0
77,26,28.0,1
36,24,68.0,1
81,31,43.0,0
68,25,30.0,1
4,6,25.0,1
34,45,30.0,1
58,31,62.0,1
86,18,37.0,1
14,30,29.0,0
54,34,56.0,0
45,33,24.0,1
5,12,43.0,0
73,8,36.0,1
78,18,42.0,0
29,7,31.0,1
39,6,38.0,1
38,33,55.0,0
69,8,36.0,1
9,7,62.0,0
63,26,22.0,0
57,39,40.0,0
86,42,50.0,0
14,5,43.0,0
70,11,52.0,1
28,12,49.0,1
65,44,64.0,0
29,17,33.0,1
23,23,42.0,0
16,37,62.0,0
43,20,61.0,1
40,16,24.0,1
19,41,64.0,0
35,45,44.0,0
28,15,31.0,0
65,6,37.0,0
5,0,22.0,0
49,34,31.0,0
36,41,35.0,0
14,29,40.0,0
71,9,51.0,1
40,23,53.0,0
71,45,33.0,1
52,36,68.0,0
88,43,67.0,0
62,30,40.0,0
14,0,59.0,0
60,7,38.0,0
50,35,58.0,0
39,12,55.0,1
20,8,25.0,1
41,7,58.0,1
41,3,58.0,1
70,31,44.0,1
63,18,39.0,1
70,6,52.0,1
32,3,55.0,1
27,31,27.0,0
72,16,45.0,1
8,9,67.0,0
39,7,45.0,1
65,7,49.0,1
44,19,68.0,0
63,13,23.0,1
41,10,42.0,1
63,16,26.0,1
72,27,48.0,0
76,29,36.0,0
9,2,34.0,1
76,31,20.0,1
31,6,68.0,0
37,25,70.0,0
63,41,60.0,0
10,40,53.0,0
11,40,57.0,0
26,13,28.0,1
53,37,20.0,0
85,24,69.0,0
36,24,22.0,0
25,19,56.0,1
1,31,51.0,0
43,5,69.0,0
44,8,59.0,1
59,27,54.0,0
80,9,24.0,1
10,7,34.0,0
42,20,55.0,1
81,8,25.0,1
80,2,35.0,1
